2.67,3.13,38.29,-77.516
2.93,3.52,39.024,-77.402
2.81,3.61,38.896,-77.443
2.84,3.59,38.784,-77.517
2.96,3.65,39.401,-77.408
2.97,3.74,39.115,-77.533
2.65,3.14,35.818,-78.622
2.49,3.09,33.706,-78.916
2.63,3.19,35.668,-78.699
2.84,3.47,39.158,-78.156
2.77,3.19,35.747,-78.828
2.53,3.42,38.068,-78.49
2.87,3.35,43.114,-77.613
2.84,3.67,36.029,-78.915
2.88,3.55,26.589,-80.071
2.99,3.89,26.412,-80.101
2.73,3.43,25.912,-80.154
2.64,3.29,26.807,-80.088
2.83,3.32,26.273,-80.149
2.75,3.49,26.097,-80.248
3.09,3.56,26.683,-80.221
2.71,3.37,25.923,-80.299
2.77,3.07,38.428,-78.857
2.65,2.99,25.775,-80.322
2.84,3.42,26.289,-80.28
2.86,3.55,26.01,-80.36
2.82,3.44,25.654,-80.413
2.69,3.49,32.882,-79.77
2.54,3.28,32.795,-80.036
2.79,3.25,28.189,-80.72
2.74,3.45,36.058,-79.884
2.59,3.39,36.065,-80.318
2.84,3.39,29.191,-81.072
2.98,3.65,40.403,-79.921
2.86,3.41,28.599,-81.3
2.78,3.09,35.13,-80.704
2.84,3.37,28.404,-81.406
2.84,3.37,28.496,-81.425
2.88,3.39,28.661,-81.418
3.09,3.69,40.691,-80.108
2.99,3.84,40.459,-80.166
2.76,2.95,35.162,-80.885
2.79,3.34,35.582,-80.855
2.92,3.55,29.982,-81.463
2.62,3.14,32.081,-81.277
3.05,3.83,26.22,-81.775
2.85,3.35,26.49,-81.786
2.57,3.36,34.071,-81.14
2.94,3.44,28.548,-81.667
2.85,3.35,26.545,-81.874
2.72,3.17,30.202,-81.757
2.73,2.89,27.04,-82.307
2.95,3.69,27.921,-82.331
2.89,3.42,28.189,-82.394
2.79,3.31,27.495,-82.47
2.88,3.49,27.235,-82.491
2.63,3.45,33.525,-82.02
2.64,3.19,34.94,-81.997
2.87,3.34,28.042,-82.58
2.54,3.39,40.886,-81.44
2.72,3.24,27.957,-82.728
2.65,3.54,41.524,-81.447
2.63,3.47,41.265,-81.507
2.61,3.11,34.836,-82.311
2.68,3.49,41.317,-81.816
2.54,3.39,41.46,-82.011
2.68,3.36,33.92,-83.457
2.79,3.63,40.054,-82.905
2.74,3.57,40.15,-82.977
2.78,3.59,40.11,-83.189
2.79,3.87,42.496,-82.935
2.65,3.74,42.63,-82.979
2.67,3.53,42.516,-83.117
2.84,3.59,30.461,-84.213
2.58,3.45,34.062,-83.996
2.84,3.89,42.607,-83.293
2.84,3.84,42.706,-83.296
2.69,3.85,42.382,-83.332
2.74,3.39,34.213,-84.116
2.69,3.29,33.948,-84.143
2.89,4.05,42.433,-83.43
2.88,3.89,42.534,-83.445
2.68,3.24,33.481,-84.219
2.57,3.57,41.535,-83.633
2.49,3.53,41.676,-83.625
2.42,2.94,35.896,-84.14
2.84,3.47,34.091,-84.278
2.69,3.48,33.572,-84.334
2.89,3.54,33.873,-84.336
2.89,3.56,33.929,-84.354
2.79,3.89,42.231,-83.744
2.92,3.95,42.504,-83.762
2.76,3.41,33.881,-84.471
2.81,3.34,34.12,-84.516
2.62,3.66,39.662,-84.107
2.76,3.42,34.005,-84.57
2.69,3.45,33.4,-84.622
2.59,3.59,39.296,-84.303
2.62,3.29,38.025,-84.41
2.62,3.62,39.37,-84.358
2.79,3.49,33.921,-84.764
2.72,3.78,43.603,-84.17
2.58,3.39,38.989,-84.645
2.72,3.75,42.752,-84.444
2.41,3.11,34.968,-85.194
2.54,3.59,41.126,-85.158
2.68,3.45,38.316,-85.573
2.72,3.48,38.204,-85.669
